Timestamp,Repo,FewShot_Count,Individual,Macro_F1,Token_Count,Token_Count_cl100k
2026-03-27 04:14:21,bitcoin_bitcoin,1,per_instance_selection,0.7012731481481481,1408.352380952381,1069.1619047619047
2026-03-27 04:14:45,bitcoin_bitcoin,2,per_instance_selection,0.6689796366547299,3029.733333333333,2255.285714285714
2026-03-27 04:15:14,bitcoin_bitcoin,3,per_instance_selection,0.7064814814814815,4329.266666666666,3210.447619047619
2026-03-27 04:15:40,bitcoin_bitcoin,4,per_instance_selection,0.7028682818156501,5177.07619047619,3843.285714285714
2026-03-27 04:16:03,bitcoin_bitcoin,6,per_instance_selection,0.7142857142857143,7075.495238095238,5277.133333333333
2026-03-27 04:16:38,bitcoin_bitcoin,8,per_instance_selection,0.6817765567765567,8675.142857142857,6467.161904761905
2026-03-27 04:17:10,bitcoin_bitcoin,10,per_instance_selection,0.6891519360269361,10444.314285714287,7774.238095238095
2026-03-27 04:17:51,bitcoin_bitcoin,12,per_instance_selection,0.6836883780332057,11694.580952380953,8717.295238095237
2026-03-27 04:18:47,bitcoin_bitcoin,16,per_instance_selection,0.6956359218764602,15183.133333333333,11292.942857142858
2026-03-27 04:21:39,bitcoin_bitcoin,20,per_instance_selection,0.6927676767676768,18363.876190476192,13663.933333333332
2026-03-27 04:25:10,bitcoin_bitcoin,24,per_instance_selection,0.7040763771119906,20578.714285714286,15293.638095238095
2026-03-27 04:29:07,bitcoin_bitcoin,32,per_instance_selection,0.7108721624850657,23784.35238095238,17801.82857142857
