Timestamp,Repo,FewShot_Count,Individual,Macro_F1,Token_Count,Token_Count_cl100k
2026-03-27 05:29:06,microsoft_vscode,1,per_instance_selection,0.3246307227450467,557.9688995215311,443.01913875598086
2026-03-27 05:29:54,microsoft_vscode,2,per_instance_selection,0.34560645347162194,980.4473684210526,769.3325358851674
2026-03-27 05:30:50,microsoft_vscode,3,per_instance_selection,0.36521969458228604,1355.3253588516745,1060.6459330143541
2026-03-27 05:31:45,microsoft_vscode,4,per_instance_selection,0.36888057457189233,1773.767942583732,1383.6291866028707
2026-03-27 05:32:44,microsoft_vscode,6,per_instance_selection,0.3859140605136029,2704.3564593301435,2099.33971291866
2026-03-27 05:34:03,microsoft_vscode,8,per_instance_selection,0.38535654871100244,3613.650717703349,2795.55980861244
2026-03-27 05:36:55,microsoft_vscode,10,per_instance_selection,0.3940572590016546,4516.885167464115,3493.2105263157896
2026-03-27 05:40:26,microsoft_vscode,12,per_instance_selection,0.379346790283908,5411.263157894737,4182.677033492823
2026-03-27 05:44:34,microsoft_vscode,16,per_instance_selection,0.39501608422205753,7073.215311004785,5459.88038277512
2026-03-27 05:49:52,microsoft_vscode,20,per_instance_selection,0.3683246472600476,8863.167464114833,6835.311004784689
2026-03-27 05:56:30,microsoft_vscode,24,per_instance_selection,0.38923220895871785,10561.559808612441,8144.421052631579
2026-03-27 06:04:23,microsoft_vscode,32,per_instance_selection,0.3529173786603994,13440.516746411484,10381.272727272728
