Timestamp,Repo,FewShot_Count,Trial,Individual,Macro_F1,Token_Count
2026-03-06 07:42:57,bitcoin_bitcoin,1,0,[572],0.7512252067708506,228
2026-03-06 07:44:11,bitcoin_bitcoin,1,1,[107],0.7423247283298173,229
2026-03-06 07:45:24,bitcoin_bitcoin,1,2,[35],0.7322572126493695,133
2026-03-06 07:46:38,bitcoin_bitcoin,1,3,[255],0.6765745790136034,403
2026-03-06 07:47:55,bitcoin_bitcoin,1,4,[196],0.7207207207207206,468
2026-03-06 07:49:14,bitcoin_bitcoin,1,5,[655],0.7928698752228165,428
2026-03-06 07:50:28,bitcoin_bitcoin,1,6,[599],0.7589453860640302,634
2026-03-06 07:51:46,bitcoin_bitcoin,1,7,[760],0.7622710622710622,154
2026-03-06 07:52:59,bitcoin_bitcoin,1,8,[90],0.7924498535046203,1279
2026-03-06 07:54:13,bitcoin_bitcoin,1,9,[413],0.7601731601731601,119
2026-03-06 07:55:31,bitcoin_bitcoin,1,10,[25],0.7584345479082321,645
2026-03-06 07:56:41,bitcoin_bitcoin,1,11,[191],0.8049019607843136,409
2026-03-06 07:57:53,bitcoin_bitcoin,1,12,[434],0.7736864442746795,660
2026-03-06 07:59:08,bitcoin_bitcoin,1,13,[183],0.7810831426392068,401
2026-03-06 08:00:24,bitcoin_bitcoin,1,14,[571],0.7703295058481409,251
2026-03-06 08:01:45,bitcoin_bitcoin,1,15,[517],0.7688774045363193,165
2026-03-06 08:03:00,bitcoin_bitcoin,1,16,[204],0.7622710622710622,171
2026-03-06 08:04:15,bitcoin_bitcoin,1,17,[530],0.6979638009049774,122
2026-03-06 08:05:34,bitcoin_bitcoin,1,18,[795],0.7322572126493695,297
2026-03-06 08:06:50,bitcoin_bitcoin,1,19,[671],0.783116883116883,347
2026-03-06 07:42:59,bitcoin_bitcoin,2,0,"[149, 704]",0.749186573143016,380
2026-03-06 07:44:11,bitcoin_bitcoin,2,1,"[413, 621]",0.777826920241781,539
2026-03-06 07:45:28,bitcoin_bitcoin,2,2,"[255, 330]",0.6496643453165193,548
2026-03-06 07:46:43,bitcoin_bitcoin,2,3,"[137, 190]",0.7471536845207697,1466
2026-03-06 07:48:02,bitcoin_bitcoin,2,4,"[329, 731]",0.7400599044544514,436
2026-03-06 07:49:16,bitcoin_bitcoin,2,5,"[90, 98]",0.7307992202729044,2059
2026-03-06 07:50:32,bitcoin_bitcoin,2,6,"[99, 389]",0.7530270655270656,1733
2026-03-06 07:51:50,bitcoin_bitcoin,2,7,"[352, 367]",0.7418392969240427,586
2026-03-06 07:53:01,bitcoin_bitcoin,2,8,"[270, 618]",0.750784925469222,228
2026-03-06 07:54:14,bitcoin_bitcoin,2,9,"[44, 826]",0.7086458515029944,367
2026-03-06 07:55:31,bitcoin_bitcoin,2,10,"[470, 747]",0.735803404768922,737
2026-03-06 07:56:47,bitcoin_bitcoin,2,11,"[127, 549]",0.7720432823881099,448
2026-03-06 07:57:58,bitcoin_bitcoin,2,12,"[80, 387]",0.6932787045166325,244
2026-03-06 07:59:12,bitcoin_bitcoin,2,13,"[300, 565]",0.7287580338427797,998
2026-03-06 08:00:27,bitcoin_bitcoin,2,14,"[633, 643]",0.7929934640522877,363
2026-03-06 08:01:47,bitcoin_bitcoin,2,15,"[370, 591]",0.7442766122766122,330
2026-03-06 08:03:03,bitcoin_bitcoin,2,16,"[196, 721]",0.7195339367470516,551
2026-03-06 08:04:17,bitcoin_bitcoin,2,17,"[46, 71]",0.7051146384479718,271
2026-03-06 08:05:31,bitcoin_bitcoin,2,18,"[233, 677]",0.769742883379247,333
2026-03-06 08:06:45,bitcoin_bitcoin,2,19,"[296, 791]",0.7653333333333334,309
2026-03-06 07:42:59,bitcoin_bitcoin,3,0,"[65, 211, 824]",0.7689583333333333,692
2026-03-06 07:44:08,bitcoin_bitcoin,3,1,"[97, 355, 755]",0.76532006245121,2125
2026-03-06 07:45:23,bitcoin_bitcoin,3,2,"[241, 427, 561]",0.7849256576991945,9313
2026-03-06 07:46:40,bitcoin_bitcoin,3,3,"[143, 356, 730]",0.7657610192837465,15143
2026-03-06 07:48:00,bitcoin_bitcoin,3,4,"[188, 318, 339]",0.7867627925487134,19298
2026-03-06 07:49:18,bitcoin_bitcoin,3,5,"[252, 596, 608]",0.7686678614097969,1136
2026-03-06 07:50:36,bitcoin_bitcoin,3,6,"[570, 630, 821]",0.7227272727272727,784
2026-03-06 07:51:53,bitcoin_bitcoin,3,7,"[58, 542, 561]",0.7559182240940597,430
2026-03-06 07:53:03,bitcoin_bitcoin,3,8,"[147, 487, 636]",0.7191492483694853,2742
2026-03-06 07:54:16,bitcoin_bitcoin,3,9,"[152, 214, 452]",0.7655863485807722,629
2026-03-06 07:55:34,bitcoin_bitcoin,3,10,"[257, 323, 777]",0.7631805438385698,748
2026-03-06 07:56:48,bitcoin_bitcoin,3,11,"[524, 572, 652]",0.7383356708742403,695
2026-03-06 07:58:01,bitcoin_bitcoin,3,12,"[192, 305, 639]",0.7347093577282257,989
2026-03-06 07:59:17,bitcoin_bitcoin,3,13,"[650, 733, 739]",0.7679707743936112,3180
2026-03-06 08:00:34,bitcoin_bitcoin,3,14,"[43, 210, 710]",0.7984476170339251,625
2026-03-06 08:01:55,bitcoin_bitcoin,3,15,"[26, 280, 790]",0.7015810276679842,1389
2026-03-06 08:03:07,bitcoin_bitcoin,3,16,"[57, 252, 343]",0.8075883900594795,322
2026-03-06 08:04:24,bitcoin_bitcoin,3,17,"[186, 521, 757]",0.7438835470085471,1944
2026-03-06 08:05:43,bitcoin_bitcoin,3,18,"[199, 298, 635]",0.7654320987654321,485
2026-03-06 08:06:56,bitcoin_bitcoin,3,19,"[392, 461, 584]",0.729400888055523,940
2026-03-06 07:42:57,bitcoin_bitcoin,4,0,"[439, 600, 772, 803]",0.7182668518660543,1844
2026-03-06 07:44:09,bitcoin_bitcoin,4,1,"[127, 129, 218, 230]",0.7847971237801747,1391
2026-03-06 07:45:24,bitcoin_bitcoin,4,2,"[249, 491, 492, 660]",0.7750615063754324,747
2026-03-06 07:46:37,bitcoin_bitcoin,4,3,"[397, 511, 662, 760]",0.7990253531552649,1633
2026-03-06 07:47:58,bitcoin_bitcoin,4,4,"[202, 342, 348, 510]",0.7723942429824783,3720
2026-03-06 07:49:16,bitcoin_bitcoin,4,5,"[90, 123, 438, 456]",0.7981559869605411,1863
2026-03-06 07:50:33,bitcoin_bitcoin,4,6,"[38, 104, 667, 829]",0.7652981427174975,1343
2026-03-06 07:51:52,bitcoin_bitcoin,4,7,"[135, 149, 564, 668]",0.7534153005464481,528
2026-03-06 07:53:04,bitcoin_bitcoin,4,8,"[57, 362, 535, 602]",0.7573140038256317,1768
2026-03-06 07:54:19,bitcoin_bitcoin,4,9,"[324, 327, 452, 535]",0.7343641135767119,1163
2026-03-06 07:55:37,bitcoin_bitcoin,4,10,"[219, 457, 506, 742]",0.7343641135767119,691
2026-03-06 07:56:51,bitcoin_bitcoin,4,11,"[9, 628, 630, 827]",0.7253232606173783,577
2026-03-06 07:58:04,bitcoin_bitcoin,4,12,"[93, 492, 605, 640]",0.8049910873440286,3762
2026-03-06 07:59:19,bitcoin_bitcoin,4,13,"[231, 326, 600, 676]",0.7958013312852023,12378
2026-03-06 08:00:39,bitcoin_bitcoin,4,14,"[92, 143, 253, 404]",0.6950427350427351,19212
2026-03-06 08:02:00,bitcoin_bitcoin,4,15,"[5, 388, 688, 757]",0.799966174241685,494
2026-03-06 08:03:12,bitcoin_bitcoin,4,16,"[227, 462, 641, 642]",0.764546981496134,5138
2026-03-06 08:04:29,bitcoin_bitcoin,4,17,"[106, 154, 435, 753]",0.7468710089399745,1088
2026-03-06 08:05:45,bitcoin_bitcoin,4,18,"[258, 556, 561, 816]",0.7622710622710622,972
2026-03-06 08:07:01,bitcoin_bitcoin,4,19,"[136, 182, 435, 536]",0.7582289055973267,2273
2026-03-06 07:43:01,bitcoin_bitcoin,6,0,"[141, 320, 498, 673, 749, 777]",0.8130511463844797,2687
