Timestamp,FewShot_Count,Original_Individual,Original_Macro_F1,Shuffled_Individual,Shuffled_Macro_F1
2026-03-09 08:36:04,2,"[493, 650]",0.6207120582120582,"[650, 493]",0.6052559992227727
2026-03-09 08:36:02,3,"[382, 560, 841]",0.6064897729341582,"[382, 841, 560]",0.693717700258398
2026-03-09 08:37:19,3,"[382, 560, 841]",0.6064897729341582,"[841, 560, 382]",0.6375876265717146
2026-03-09 08:38:27,3,"[382, 560, 841]",0.6064897729341582,"[841, 382, 560]",0.6753080100639449
2026-03-09 08:39:38,3,"[382, 560, 841]",0.6064897729341582,"[560, 841, 382]",0.5317725752508361
2026-03-09 08:40:45,3,"[382, 560, 841]",0.6064897729341582,"[560, 382, 841]",0.6428962225714452
2026-03-09 08:36:01,4,"[40, 253, 400, 476]",0.5891271388347411,"[400, 476, 253, 40]",0.6655122655122655
2026-03-09 08:37:10,4,"[40, 253, 400, 476]",0.5891271388347411,"[476, 40, 400, 253]",0.5950010307153165
2026-03-09 08:38:17,4,"[40, 253, 400, 476]",0.5891271388347411,"[253, 400, 476, 40]",0.7034359164503771
2026-03-09 08:39:28,4,"[40, 253, 400, 476]",0.5891271388347411,"[253, 40, 476, 400]",0.530543637551424
2026-03-09 08:40:43,4,"[40, 253, 400, 476]",0.5891271388347411,"[400, 253, 476, 40]",0.6899993784573312
2026-03-09 08:41:57,4,"[40, 253, 400, 476]",0.5891271388347411,"[476, 253, 40, 400]",0.6514685156998703
2026-03-09 08:43:03,4,"[40, 253, 400, 476]",0.5891271388347411,"[400, 253, 40, 476]",0.626365635041434
2026-03-09 08:44:11,4,"[40, 253, 400, 476]",0.5891271388347411,"[40, 253, 476, 400]",0.5552517468997707
2026-03-09 08:45:16,4,"[40, 253, 400, 476]",0.5891271388347411,"[253, 476, 40, 400]",0.6076639409972743
2026-03-09 08:46:23,4,"[40, 253, 400, 476]",0.5891271388347411,"[400, 40, 253, 476]",0.6207120582120582
2026-03-09 08:47:30,4,"[40, 253, 400, 476]",0.5891271388347411,"[40, 400, 253, 476]",0.5376756066411239
2026-03-09 08:48:36,4,"[40, 253, 400, 476]",0.5891271388347411,"[476, 400, 40, 253]",0.6744771660264618
2026-03-09 08:49:39,4,"[40, 253, 400, 476]",0.5891271388347411,"[400, 476, 40, 253]",0.610255592752006
2026-03-09 08:50:41,4,"[40, 253, 400, 476]",0.5891271388347411,"[476, 253, 400, 40]",0.687444739168877
2026-03-09 08:51:52,4,"[40, 253, 400, 476]",0.5891271388347411,"[40, 400, 476, 253]",0.5943028485757121
2026-03-09 08:52:56,4,"[40, 253, 400, 476]",0.5891271388347411,"[253, 476, 400, 40]",0.6756226361235994
2026-03-09 08:54:02,4,"[40, 253, 400, 476]",0.5891271388347411,"[253, 40, 400, 476]",0.5798720809162576
2026-03-09 08:55:10,4,"[40, 253, 400, 476]",0.5891271388347411,"[40, 476, 253, 400]",0.5613086401634672
2026-03-09 08:56:18,4,"[40, 253, 400, 476]",0.5891271388347411,"[476, 40, 253, 400]",0.6561236082708476
2026-03-09 08:57:24,4,"[40, 253, 400, 476]",0.5891271388347411,"[40, 476, 400, 253]",0.5060690943043884
2026-03-09 08:58:32,4,"[40, 253, 400, 476]",0.5891271388347411,"[476, 400, 253, 40]",0.6987388679696371
2026-03-09 08:59:41,4,"[40, 253, 400, 476]",0.5891271388347411,"[253, 400, 40, 476]",0.6468356555313077
2026-03-09 09:00:51,4,"[40, 253, 400, 476]",0.5891271388347411,"[400, 40, 476, 253]",0.6062532299741602
2026-03-09 08:36:05,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[72, 334, 746, 258, 281, 506]",0.5507560412643083
2026-03-09 08:37:19,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[746, 281, 72, 334, 258, 506]",0.5966013071895425
2026-03-09 08:38:28,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[258, 506, 281, 334, 72, 746]",0.6774594896628795
2026-03-09 08:39:40,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[281, 72, 334, 746, 506, 258]",0.6014966338047237
2026-03-09 08:40:51,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[258, 281, 506, 334, 746, 72]",0.6199914734946582
2026-03-09 08:42:00,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[281, 746, 72, 506, 258, 334]",0.6169839037349586
2026-03-09 08:43:12,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[506, 258, 334, 72, 746, 281]",0.6514619883040936
2026-03-09 08:44:20,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[258, 506, 334, 746, 72, 281]",0.6422222222222222
2026-03-09 08:45:27,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[746, 506, 72, 258, 334, 281]",0.641147231268912
2026-03-09 08:46:32,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[746, 334, 258, 72, 281, 506]",0.5601139601139601
2026-03-09 08:47:41,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[72, 258, 334, 746, 506, 281]",0.5983848937435435
2026-03-09 08:48:51,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[258, 281, 334, 506, 72, 746]",0.6438561438561439
2026-03-09 08:49:58,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[506, 72, 258, 746, 334, 281]",0.6566015181399797
2026-03-09 08:51:05,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[746, 506, 258, 334, 281, 72]",0.6561236082708476
2026-03-09 08:52:13,6,"[72, 258, 281, 334, 506, 746]",0.633042906460628,"[746, 281, 258, 334, 506, 72]",0.6565741225772656
