Timestamp,Repo,FewShot_Count,Individual,Macro_F1,Token_Count,Token_Count_cl100k
2026-03-27 04:33:46,opencv_opencv,1,per_instance_selection,0.36486187513827484,808.9692307692308,621.5615384615385
2026-03-27 04:34:08,opencv_opencv,2,per_instance_selection,0.3627781976988326,2063.1384615384613,1560.9769230769232
2026-03-27 04:34:39,opencv_opencv,3,per_instance_selection,0.4153864843040996,3331.753846153846,2505.876923076923
2026-03-27 04:35:13,opencv_opencv,4,per_instance_selection,0.4936936936936937,4110.2307692307695,3100.5153846153844
2026-03-27 04:35:40,opencv_opencv,6,per_instance_selection,0.5133017186291325,5594.253846153846,4227.884615384615
2026-03-27 04:36:21,opencv_opencv,8,per_instance_selection,0.5234056941908433,7222.2,5452.2692307692305
2026-03-27 04:37:09,opencv_opencv,10,per_instance_selection,0.4786596119929453,9252.86923076923,6937.223076923077
2026-03-27 04:38:04,opencv_opencv,12,per_instance_selection,0.5191114420451725,11115.084615384616,8325.423076923076
2026-03-27 04:40:39,opencv_opencv,16,per_instance_selection,0.4683854008694773,13963.176923076922,10482.715384615385
2026-03-27 04:43:54,opencv_opencv,20,per_instance_selection,0.5305761134540733,16336.146153846154,12286.892307692307
2026-03-27 04:47:41,opencv_opencv,24,per_instance_selection,0.5249488752556237,18231.253846153846,13751.861538461539
2026-03-27 04:51:58,opencv_opencv,32,per_instance_selection,0.48888888888888893,22936.407692307694,17344.623076923075
