Timestamp,Repo,FewShot_Count,Trial,Individual,Macro_F1,Token_Count
2026-03-07 03:08:48,bitcoin_bitcoin,1,0,[572],0.5541767397845646,228
2026-03-07 03:10:07,bitcoin_bitcoin,1,1,[107],0.6288439955106623,229
2026-03-07 03:11:23,bitcoin_bitcoin,1,2,[35],0.5696754563894523,133
2026-03-07 03:12:44,bitcoin_bitcoin,1,3,[255],0.5536728603061519,403
2026-03-07 03:14:07,bitcoin_bitcoin,1,4,[196],0.5488905271235617,419
2026-03-07 03:15:25,bitcoin_bitcoin,1,5,[655],0.5861137897782064,356
2026-03-07 03:16:45,bitcoin_bitcoin,1,6,[599],0.5978926547225075,566
2026-03-07 03:18:06,bitcoin_bitcoin,1,7,[760],0.6393762183235867,154
2026-03-07 03:19:22,bitcoin_bitcoin,1,8,[90],0.52079107505071,1195
2026-03-07 03:20:39,bitcoin_bitcoin,1,9,[413],0.5458201928790164,119
2026-03-07 03:21:56,bitcoin_bitcoin,1,10,[25],0.6334297653487625,611
2026-03-07 03:23:11,bitcoin_bitcoin,1,11,[191],0.541727101799624,403
2026-03-07 03:24:25,bitcoin_bitcoin,1,12,[434],0.6368604954367666,592
2026-03-07 03:25:44,bitcoin_bitcoin,1,13,[183],0.6030075187969924,374
2026-03-07 03:27:04,bitcoin_bitcoin,1,14,[571],0.6208963885540825,216
2026-03-07 03:28:28,bitcoin_bitcoin,1,15,[517],0.6163123231412616,161
2026-03-07 03:29:45,bitcoin_bitcoin,1,16,[204],0.6230078794107571,165
2026-03-07 03:31:01,bitcoin_bitcoin,1,17,[530],0.5844969448304767,116
2026-03-07 03:32:20,bitcoin_bitcoin,1,18,[795],0.5827988103850174,296
2026-03-07 03:33:38,bitcoin_bitcoin,1,19,[671],0.5888888888888889,328
2026-03-07 03:08:49,bitcoin_bitcoin,2,0,"[149, 704]",0.690960890960891,371
2026-03-07 03:09:59,bitcoin_bitcoin,2,1,"[413, 621]",0.5338666521792278,499
2026-03-07 03:11:19,bitcoin_bitcoin,2,2,"[255, 330]",0.5608947804473902,544
2026-03-07 03:12:40,bitcoin_bitcoin,2,3,"[137, 190]",0.46061169930868795,1058
2026-03-07 03:14:00,bitcoin_bitcoin,2,4,"[329, 731]",0.5210884353741497,435
2026-03-07 03:15:19,bitcoin_bitcoin,2,5,"[90, 98]",0.6161986161986163,1952
2026-03-07 03:16:36,bitcoin_bitcoin,2,6,"[99, 389]",0.349113444654846,1395
2026-03-07 03:17:58,bitcoin_bitcoin,2,7,"[352, 367]",0.5163198220766683,533
2026-03-07 03:19:13,bitcoin_bitcoin,2,8,"[270, 618]",0.5682132682132682,219
2026-03-07 03:20:30,bitcoin_bitcoin,2,9,"[44, 826]",0.5787037037037037,361
2026-03-07 03:21:48,bitcoin_bitcoin,2,10,"[470, 747]",0.46622325043377666,674
2026-03-07 03:23:05,bitcoin_bitcoin,2,11,"[127, 549]",0.5811546840958606,437
2026-03-07 03:24:22,bitcoin_bitcoin,2,12,"[80, 387]",0.5482859810590903,235
2026-03-07 03:25:41,bitcoin_bitcoin,2,13,"[300, 565]",0.4842571545141925,913
2026-03-07 03:27:02,bitcoin_bitcoin,2,14,"[633, 643]",0.5238746438746439,340
2026-03-07 03:28:24,bitcoin_bitcoin,2,15,"[370, 591]",0.6133764588419878,330
2026-03-07 03:29:38,bitcoin_bitcoin,2,16,"[196, 721]",0.4925777862385516,492
2026-03-07 03:30:53,bitcoin_bitcoin,2,17,"[46, 71]",0.49342509342509344,268
2026-03-07 03:32:15,bitcoin_bitcoin,2,18,"[233, 677]",0.5480489417989418,329
2026-03-07 03:33:32,bitcoin_bitcoin,2,19,"[296, 791]",0.5764605047254994,301
2026-03-07 03:08:44,bitcoin_bitcoin,3,0,"[65, 211, 824]",0.6290123723308819,608
2026-03-07 03:10:02,bitcoin_bitcoin,3,1,"[97, 355, 755]",0.5361765068408727,2007
2026-03-07 03:11:18,bitcoin_bitcoin,3,2,"[241, 427, 561]",0.6125735581821493,8919
2026-03-07 03:12:35,bitcoin_bitcoin,3,3,"[143, 356, 730]",0.5322991053106788,11809
2026-03-07 03:13:56,bitcoin_bitcoin,3,4,"[188, 318, 339]",0.5470278833065362,16051
2026-03-07 03:15:18,bitcoin_bitcoin,3,5,"[252, 596, 608]",0.6229033370638625,1056
2026-03-07 03:16:39,bitcoin_bitcoin,3,6,"[570, 630, 821]",0.6747766262917779,681
2026-03-07 03:17:58,bitcoin_bitcoin,3,7,"[58, 542, 561]",0.5927639017370747,398
2026-03-07 03:19:14,bitcoin_bitcoin,3,8,"[147, 487, 636]",0.4841184655138144,2167
2026-03-07 03:20:30,bitcoin_bitcoin,3,9,"[152, 214, 452]",0.5331703847746628,590
2026-03-07 03:21:50,bitcoin_bitcoin,3,10,"[257, 323, 777]",0.6648888888888889,691
2026-03-07 03:23:07,bitcoin_bitcoin,3,11,"[524, 572, 652]",0.6049642079053844,646
2026-03-07 03:24:22,bitcoin_bitcoin,3,12,"[192, 305, 639]",0.5416295894102329,951
2026-03-07 03:25:41,bitcoin_bitcoin,3,13,"[650, 733, 739]",0.5744107744107744,2711
2026-03-07 03:27:03,bitcoin_bitcoin,3,14,"[43, 210, 710]",0.6155048512228132,612
2026-03-07 03:28:23,bitcoin_bitcoin,3,15,"[26, 280, 790]",0.5598234196513903,1280
2026-03-07 03:29:42,bitcoin_bitcoin,3,16,"[57, 252, 343]",0.5813355952044365,315
2026-03-07 03:31:01,bitcoin_bitcoin,3,17,"[186, 521, 757]",0.5550269270162222,1680
2026-03-07 03:32:22,bitcoin_bitcoin,3,18,"[199, 298, 635]",0.6527586996336997,454
2026-03-07 03:33:39,bitcoin_bitcoin,3,19,"[392, 461, 584]",0.6579316979316979,929
2026-03-07 03:08:48,bitcoin_bitcoin,4,0,"[439, 600, 772, 803]",0.531345965221058,1581
2026-03-07 03:10:01,bitcoin_bitcoin,4,1,"[127, 129, 218, 230]",0.5276607429013845,1144
2026-03-07 03:11:19,bitcoin_bitcoin,4,2,"[249, 491, 492, 660]",0.49815285339786247,697
2026-03-07 03:12:39,bitcoin_bitcoin,4,3,"[397, 511, 662, 760]",0.44976019794261696,1402
2026-03-07 03:14:01,bitcoin_bitcoin,4,4,"[202, 342, 348, 510]",0.5507875691783738,2872
2026-03-07 03:15:18,bitcoin_bitcoin,4,5,"[90, 123, 438, 456]",0.5614223248906857,1702
2026-03-07 03:16:36,bitcoin_bitcoin,4,6,"[38, 104, 667, 829]",0.5756031832919281,1242
2026-03-07 03:17:57,bitcoin_bitcoin,4,7,"[135, 149, 564, 668]",0.536512220722747,511
2026-03-07 03:19:12,bitcoin_bitcoin,4,8,"[57, 362, 535, 602]",0.6183696529459242,1431
2026-03-07 03:20:26,bitcoin_bitcoin,4,9,"[324, 327, 452, 535]",0.5550499874746647,1092
2026-03-07 03:21:48,bitcoin_bitcoin,4,10,"[219, 457, 506, 742]",0.5949415270578219,645
