Timestamp,Repo,FewShot_Count,Individual,Accuracy,Token_Count
2026-03-07 03:09:58.931613,bitcoin_bitcoin,2,"[149, 704]",0.7619047619047619,371
2026-03-07 03:10:00.741783,bitcoin_bitcoin,4,"[439, 600, 772, 803]",0.7142857142857143,1581
2026-03-07 03:10:00.904936,bitcoin_bitcoin,8,"[106, 177, 236, 291, 504, 646, 701, 752]",0.6857142857142857,1896
2026-03-07 03:10:01.099945,bitcoin_bitcoin,3,"[65, 211, 824]",0.8,608
2026-03-07 03:10:02.274907,bitcoin_bitcoin,16,"[17, 109, 111, 135, 172, 197, 209, 215, 229, 407, 452, 513, 550, 608, 618, 734]",0.7904761904761904,5743
2026-03-07 03:10:06.073699,bitcoin_bitcoin,6,"[141, 320, 498, 673, 749, 777]",0.8,2381
2026-03-07 03:10:06.587670,bitcoin_bitcoin,1,[572],0.6952380952380952,228
2026-03-07 03:10:07.390201,bitcoin_bitcoin,20,"[17, 31, 159, 176, 232, 274, 411, 419, 440, 475, 505, 514, 545, 597, 604, 670, 673, 674, 721, 833]",0.6190476190476191,16366
2026-03-07 03:10:07.583092,bitcoin_bitcoin,10,"[86, 106, 109, 120, 251, 518, 589, 638, 765, 822]",0.6761904761904762,8283
2026-03-07 03:10:11.067568,bitcoin_bitcoin,12,"[105, 259, 265, 270, 308, 382, 386, 435, 608, 617, 642, 786]",0.7142857142857143,7843
2026-03-07 03:10:13.425178,bitcoin_bitcoin,32,"[30, 64, 84, 116, 137, 148, 152, 157, 168, 256, 290, 363, 435, 455, 470, 535, 557, 559, 588, 647, 656, 658, 675, 677, 692, 699, 730, 741, 764, 767, 772, 811]",0.7333333333333333,14035
2026-03-07 03:10:14.175432,bitcoin_bitcoin,24,"[13, 76, 98, 105, 230, 251, 315, 316, 338, 354, 365, 388, 463, 486, 529, 580, 593, 625, 694, 703, 712, 743, 785, 798]",0.7619047619047619,10761
2026-03-07 03:11:17.257566,bitcoin_bitcoin,3,"[97, 355, 755]",0.7714285714285715,2007
2026-03-07 03:11:17.454999,bitcoin_bitcoin,8,"[124, 160, 218, 274, 362, 383, 436, 753]",0.7142857142857143,2987
2026-03-07 03:11:18.967439,bitcoin_bitcoin,4,"[127, 129, 218, 230]",0.7047619047619048,1144
2026-03-07 03:11:18.967617,bitcoin_bitcoin,2,"[413, 621]",0.7142857142857143,499
2026-03-07 03:11:23.020049,bitcoin_bitcoin,1,[107],0.7714285714285715,229
2026-03-07 03:11:23.688860,bitcoin_bitcoin,16,"[35, 93, 106, 145, 152, 275, 294, 316, 526, 534, 635, 662, 675, 683, 718, 777]",0.780952380952381,9058
2026-03-07 03:11:23.904009,bitcoin_bitcoin,10,"[137, 184, 187, 235, 243, 330, 533, 561, 582, 686]",0.7714285714285715,1678
2026-03-07 03:11:24.299458,bitcoin_bitcoin,6,"[0, 303, 458, 469, 538, 806]",0.780952380952381,2486
